Agent,Game,Episode,Seed,Score,Steps,Chunks
QUANTUM,InfiniteMaze,1,999,11,500,8
QUANTUM,InfiniteMaze,2,999,4,500,8
QUANTUM,InfiniteMaze,3,999,12,500,10
QUANTUM,InfiniteMaze,4,999,10,500,8
QUANTUM,InfiniteMaze,5,999,10,500,8
PHYSICS,InfiniteMaze,1,999,12,500,10
PHYSICS,InfiniteMaze,2,999,12,500,10
PHYSICS,InfiniteMaze,3,999,12,500,10
PHYSICS,InfiniteMaze,4,999,12,500,10
PHYSICS,InfiniteMaze,5,999,12,500,10
RELATIVITY,InfiniteMaze,1,999,12,500,10
RELATIVITY,InfiniteMaze,2,999,5,500,8
RELATIVITY,InfiniteMaze,3,999,12,500,10
RELATIVITY,InfiniteMaze,4,999,12,500,10
RELATIVITY,InfiniteMaze,5,999,12,500,10
INFORMATION,InfiniteMaze,1,999,12,500,10
INFORMATION,InfiniteMaze,2,999,5,500,8
INFORMATION,InfiniteMaze,3,999,10,500,8
INFORMATION,InfiniteMaze,4,999,12,500,10
QUANTUM,InfiniteMaze,2,999,9,10000,8
QUANTUM,InfiniteMaze,3,999,11,10000,8
QUANTUM,InfiniteMaze,4,999,10,10000,8
QUANTUM,InfiniteMaze,5,999,9,10000,8
PHYSICS,InfiniteMaze,1,999,9,10000,8
PHYSICS,InfiniteMaze,2,999,11,10000,8
PHYSICS,InfiniteMaze,3,999,9,10000,8
PHYSICS,InfiniteMaze,4,999,9,10000,8
PHYSICS,InfiniteMaze,5,999,9,10000,8
RELATIVITY,InfiniteMaze,1,999,9,10000,8
RELATIVITY,InfiniteMaze,2,999,11,10000,8
RELATIVITY,InfiniteMaze,3,999,11,10000,8
RELATIVITY,InfiniteMaze,4,999,9,10000,8
RELATIVITY,InfiniteMaze,5,999,9,10000,8
INFORMATION,InfiniteMaze,1,999,9,10000,8
INFORMATION,InfiniteMaze,2,999,9,10000,8
INFORMATION,InfiniteMaze,3,999,9,10000,8
INFORMATION,InfiniteMaze,4,999,9,10000,8
INFORMATION,InfiniteMaze,5,999,9,10000,8
QUANTUM,InfiniteMaze,1,999,22,5000,4
QUANTUM,InfiniteMaze,1,999,87,5000,8
PHYSICS,InfiniteMaze,1,999,156,5000,9
RELATIVITY,InfiniteMaze,1,999,193,5000,9
INFORMATION,InfiniteMaze,1,999,168,5000,9
QUANTUM,InfiniteMaze,1,999,24,10000,6
PHYSICS,InfiniteMaze,1,999,28,10000,6
RELATIVITY,InfiniteMaze,1,999,83,10000,9
INFORMATION,InfiniteMaze,1,999,20,10000,6
QUANTUM,InfiniteMaze,1,999,56,5000,9
QUANTUM,InfiniteMaze,2,999,82,5000,9
QUANTUM,InfiniteMaze,3,999,51,5000,8
QUANTUM,InfiniteMaze,4,999,20,5000,6
QUANTUM,InfiniteMaze,5,999,20,5000,6
PHYSICS,InfiniteMaze,1,999,20,5000,6
PHYSICS,InfiniteMaze,2,999,47,5000,6
PHYSICS,InfiniteMaze,3,999,85,5000,9
PHYSICS,InfiniteMaze,4,999,65,5000,9
PHYSICS,InfiniteMaze,5,999,42,5000,8
RELATIVITY,InfiniteMaze,1,999,20,5000,6
RELATIVITY,InfiniteMaze,2,999,46,5000,8
RELATIVITY,InfiniteMaze,3,999,55,5000,8
RELATIVITY,InfiniteMaze,4,999,44,5000,6
RELATIVITY,InfiniteMaze,5,999,66,5000,9
INFORMATION,InfiniteMaze,1,999,82,5000,9
INFORMATION,InfiniteMaze,2,999,19,5000,6
INFORMATION,InfiniteMaze,3,999,19,5000,6
INFORMATION,InfiniteMaze,4,999,19,5000,6
INFORMATION,InfiniteMaze,5,999,41,5000,6
