Date,Open,High,Low,Close,Volume
2023-01-01,380.0,385.0,379.0,382.0,100000
2023-01-02,382.5,386.0,381.0,383.0,110000
2023-01-03,383.0,384.0,378.0,379.0,120000
2023-01-04,379.0,381.0,375.0,376.0,150000
2023-01-05,376.0,380.0,375.0,379.0,90000
2023-01-06,379.0,385.0,378.0,384.0,130000
2023-01-07,384.0,390.0,383.0,389.0,160000
2023-01-08,389.0,392.0,388.0,391.0,140000
2023-01-09,391.0,395.0,390.0,394.0,120000
2023-01-10,394.0,396.0,392.0,393.0,110000
2023-01-11,393.0,390.0,385.0,387.0,130000
2023-01-12,387.0,388.0,382.0,384.0,140000
2023-01-13,384.0,380.0,375.0,378.0,180000
